src_court,dest_court,cited_cases
Illinois Appellate Court,[Illinois Appellate Court],84510
Illinois Supreme Court,[Illinois Appellate Court],82196
Arkansas Supreme Court,[Arkansas Supreme Court],42694
Illinois Supreme Court,[Illinois Supreme Court],37122
Supreme Court of North Carolina,[Supreme Court of North Carolina],33797
Illinois Appellate Court,[Illinois Supreme Court],31591
Supreme Court of North Carolina,[North Carolina Court of Appeals],23826
North Carolina Court of Appeals,[Supreme Court of North Carolina],23771
North Carolina Court of Appeals,[North Carolina Court of Appeals],23497
Arkansas Court of Appeals,[Arkansas Supreme Court],12875
Supreme Court of New Mexico,[Supreme Court of New Mexico],9141
Arkansas Court of Appeals,[Arkansas Court of Appeals],7702
Arkansas Supreme Court,[Arkansas Court of Appeals],7609
Court of Appeals of New Mexico,[Supreme Court of New Mexico],6846
Court of Appeals of New Mexico,[Court of Appeals of New Mexico],6740
Supreme Court of New Mexico,[Court of Appeals of New Mexico],6580
Arkansas Supreme Court,[Illinois Supreme Court],1632
Illinois Supreme Court,[Arkansas Supreme Court],1480
Supreme Court of North Carolina,[Illinois Supreme Court],1466
Illinois Supreme Court,[Supreme Court of North Carolina],1396
Illinois Court of Claims,[Illinois Supreme Court],1318
Supreme Court of North Carolina,[Arkansas Supreme Court],1212
Arkansas Supreme Court,[Supreme Court of North Carolina],1212
Supreme Court of New Mexico,[Illinois Supreme Court],1187
Illinois Supreme Court,[Illinois Court of Claims],1135
Illinois Court of Claims,[Illinois Court of Claims],1010
Illinois Court of Claims,[Illinois Appellate Court],1009
Arkansas Supreme Court,[Illinois Appellate Court],970
Illinois Appellate Court,[Arkansas Supreme Court],922
Illinois Supreme Court,[Supreme Court of New Mexico],922
Supreme Court of New Mexico,[Arkansas Supreme Court],906
Supreme Court of North Carolina,[Illinois Appellate Court],889
Illinois Appellate Court,[Supreme Court of North Carolina],800
Arkansas Supreme Court,[Supreme Court of New Mexico],734
Supreme Court of New Mexico,[Supreme Court of North Carolina],651
Illinois Appellate Court,[Illinois Court of Claims],627
Court of Appeals of New Mexico,[Illinois Appellate Court],626
Supreme Court of New Mexico,[Illinois Appellate Court],594
Supreme Court of North Carolina,[Supreme Court of New Mexico],560
Illinois Appellate Court,[Court of Appeals of New Mexico],511
Illinois Appellate Court,[Supreme Court of New Mexico],507
Illinois Circuit Court,[Illinois Supreme Court],412
North Carolina Court of Appeals,[Illinois Appellate Court],351
Illinois Appellate Court,[North Carolina Court of Appeals],313
Court of Appeals of New Mexico,[Illinois Supreme Court],302
Illinois Supreme Court,[Court of Appeals of New Mexico],285
Court of Appeals of New Mexico,[Arkansas Supreme Court],255
Arkansas Supreme Court,[Court of Appeals of New Mexico],240
Court of Appeals of New Mexico,[Supreme Court of North Carolina],177
Supreme Court of North Carolina,[Court of Appeals of New Mexico],169
Court of Appeals of New Mexico,[North Carolina Court of Appeals],162
North Carolina Court of Appeals,[Court of Appeals of New Mexico],154
Arkansas Supreme Court,[North Carolina Court of Appeals],148
North Carolina Court of Appeals,[Arkansas Supreme Court],142
Illinois Supreme Court,[North Carolina Court of Appeals],137
North Carolina Court of Appeals,[Illinois Supreme Court],130
Supreme Court of New Mexico,[North Carolina Court of Appeals],104
North Carolina Court of Appeals,[Supreme Court of New Mexico],104
Arkansas Court of Appeals,[Illinois Appellate Court],100
Illinois Appellate Court,[Arkansas Court of Appeals],91
Illinois Supreme Court,[Illinois Circuit Court],82
Illinois Circuit Court,[Illinois Appellate Court],81
Court of Appeals of New Mexico,[Arkansas Court of Appeals],53
Arkansas Court of Appeals,[Court of Appeals of New Mexico],49
North Carolina Court of Appeals,[Arkansas Court of Appeals],44
Arkansas Court of Appeals,[North Carolina Court of Appeals],43
Illinois Appellate Court,[Illinois Circuit Court],35
Arkansas Court of Appeals,[Supreme Court of North Carolina],33
Supreme Court of North Carolina,[Arkansas Court of Appeals],32
Supreme Court of New Mexico,[Arkansas Court of Appeals],30
Arkansas Court of Appeals,[Supreme Court of New Mexico],28
Illinois Supreme Court,[Arkansas Court of Appeals],27
Arkansas Court of Appeals,[Illinois Supreme Court],27
North Carolina District Court,[Supreme Court of North Carolina],6
Illinois Circuit Court,"[Arkansas Supreme Court,Supreme Court of North Carolina]",4
Arkansas Supreme Court,[Illinois Circuit Court],4
Supreme Court of North Carolina,[Illinois Circuit Court],3
Supreme Court of North Carolina,[Illinois Court of Claims],2
Illinois Court of Claims,[Supreme Court of North Carolina],2
Illinois Court of Claims,"[Arkansas Supreme Court,Supreme Court of New Mexico]",1
Arkansas Supreme Court,[Illinois Court of Claims],1
Supreme Court of New Mexico,[Illinois Court of Claims],1
United States Circuit Court for the District of North Carolina,[Supreme Court of North Carolina],1
Supreme Court of North Carolina,"[United States Circuit Court for the District of North Carolina,North Carolina District Court]",1
