src_jurisdiction,dest_jurisdiction,cited_cases
Arkansas,[Arkansas],50969
Arkansas,[Illinois],2719
Arkansas,[North Carolina],1426
Arkansas,[New Mexico],1035
Illinois,[Illinois],130323
Illinois,[North Carolina],2438
Illinois,[Arkansas],2333
Illinois,[New Mexico],2018
New Mexico,[New Mexico],16227
New Mexico,[Illinois],2645
New Mexico,[Arkansas],1221
New Mexico,[North Carolina],1065
North Carolina,[North Carolina],67111
North Carolina,[Illinois],2770
North Carolina,[Arkansas],1413
North Carolina,[New Mexico],958
