Jur,court,most_cited_cases
Arkansas,Arkansas Supreme Court,"[{""citation_id"":1709251,""num_citations"":248},{""citation_id"":5369074,""num_citations"":167},{""citation_id"":1616825,""num_citations"":149},{""citation_id"":210108,""num_citations"":137},{""citation_id"":1650249,""num_citations"":125},{""citation_id"":1878611,""num_citations"":117},{""citation_id"":1519169,""num_citations"":113},{""citation_id"":1324614,""num_citations"":111},{""citation_id"":1664891,""num_citations"":110},{""citation_id"":8728547,""num_citations"":109}]"
Arkansas,Arkansas Court of Appeals,"[{""citation_id"":6136996,""num_citations"":68},{""citation_id"":6137782,""num_citations"":62},{""citation_id"":7324804,""num_citations"":49},{""citation_id"":6141625,""num_citations"":46},{""citation_id"":6141511,""num_citations"":44},{""citation_id"":6140255,""num_citations"":41},{""citation_id"":6140671,""num_citations"":41},{""citation_id"":6135992,""num_citations"":40},{""citation_id"":6136496,""num_citations"":40},{""citation_id"":6141187,""num_citations"":39}]"
Illinois,Illinois Supreme Court,"[{""citation_id"":2866138,""num_citations"":1639},{""citation_id"":5550081,""num_citations"":1449},{""citation_id"":3138930,""num_citations"":1173},{""citation_id"":5809665,""num_citations"":1101},{""citation_id"":3147214,""num_citations"":832},{""citation_id"":5463653,""num_citations"":718},{""citation_id"":5426498,""num_citations"":677},{""citation_id"":3166688,""num_citations"":591},{""citation_id"":2933485,""num_citations"":543},{""citation_id"":4820940,""num_citations"":510}]"
Illinois,Illinois Appellate Court,"[{""citation_id"":5602393,""num_citations"":102},{""citation_id"":5172966,""num_citations"":101},{""citation_id"":8499200,""num_citations"":100},{""citation_id"":5215664,""num_citations"":91},{""citation_id"":5608950,""num_citations"":89},{""citation_id"":3430588,""num_citations"":87},{""citation_id"":3482151,""num_citations"":86},{""citation_id"":3581931,""num_citations"":81},{""citation_id"":5291574,""num_citations"":80},{""citation_id"":5535640,""num_citations"":80}]"
Illinois,Illinois Court of Claims,"[{""citation_id"":5328871,""num_citations"":23},{""citation_id"":5809991,""num_citations"":17},{""citation_id"":3058158,""num_citations"":16},{""citation_id"":3142783,""num_citations"":12},{""citation_id"":5345110,""num_citations"":12},{""citation_id"":3112205,""num_citations"":12},{""citation_id"":5320322,""num_citations"":12},{""citation_id"":2770310,""num_citations"":12},{""citation_id"":6057241,""num_citations"":11},{""citation_id"":3144199,""num_citations"":11}]"
New Mexico,Supreme Court of New Mexico,"[{""citation_id"":1588533,""num_citations"":245},{""citation_id"":5334147,""num_citations"":194},{""citation_id"":322282,""num_citations"":186},{""citation_id"":2766048,""num_citations"":184},{""citation_id"":720274,""num_citations"":174},{""citation_id"":1597058,""num_citations"":173},{""citation_id"":827320,""num_citations"":166},{""citation_id"":1552727,""num_citations"":150},{""citation_id"":827383,""num_citations"":140},{""citation_id"":1552772,""num_citations"":135}]"
New Mexico,Court of Appeals of New Mexico,"[{""citation_id"":708768,""num_citations"":134},{""citation_id"":1592854,""num_citations"":103},{""citation_id"":1580008,""num_citations"":94},{""citation_id"":711335,""num_citations"":83},{""citation_id"":2868394,""num_citations"":66},{""citation_id"":1588665,""num_citations"":65},{""citation_id"":929193,""num_citations"":61},{""citation_id"":1595015,""num_citations"":61},{""citation_id"":2873551,""num_citations"":60},{""citation_id"":1582523,""num_citations"":60}]"
North Carolina,Supreme Court of North Carolina,"[{""citation_id"":8565416,""num_citations"":598},{""citation_id"":8573434,""num_citations"":418},{""citation_id"":8559773,""num_citations"":382},{""citation_id"":8561041,""num_citations"":346},{""citation_id"":8629835,""num_citations"":343},{""citation_id"":2483734,""num_citations"":326},{""citation_id"":8561932,""num_citations"":310},{""citation_id"":8560587,""num_citations"":304},{""citation_id"":4755941,""num_citations"":297},{""citation_id"":2566216,""num_citations"":281}]"
North Carolina,North Carolina Court of Appeals,"[{""citation_id"":8525626,""num_citations"":119},{""citation_id"":12170267,""num_citations"":118},{""citation_id"":11470258,""num_citations"":110},{""citation_id"":12129791,""num_citations"":108},{""citation_id"":8527936,""num_citations"":97},{""citation_id"":8154614,""num_citations"":93},{""citation_id"":8526819,""num_citations"":85},{""citation_id"":11798267,""num_citations"":81},{""citation_id"":8522544,""num_citations"":78},{""citation_id"":8520479,""num_citations"":75}]"
North Carolina,North Carolina District Court,"[{""citation_id"":8656976,""num_citations"":2}]"
